display_name,concept_id
Particle swarm optimisation,c85617194
Swarm intelligence,c119487961
Evolutionary algorithm,c159149176
Evolutionary computation,c105902424
Genetic algorithm,c8880873
Evolution strategy,c207002847
Harmony search,c33099171
Cuckoo search,c117241572
Ant colony optimization algorithms,c40128228
Differential evolution,c74750220
Artificial bee colony algorithm,c97133563
Bees algorithm,c143574069
Multi-swarm optimization,c122357587
Bat algorithm,c5351157
Evolutionary programming,c121835503
Firefly algorithm,c154982244
